Descricao_Produto;Categoria;Cor;Tamanho;Material;Preco_Venda;Custo_Unitario;Quantidade_Estoque;Ano_Lancamento
Bone Poliester Rosa;Bone;Rosa;G;Poliester;335.37;137.46;17;2025
Moletom Seda Amarelo;Moletom;Amarelo;44;Seda;329.68;163.25;17;2025
Saia Jeans Amarelo;Saia;Amarelo;P;Jeans;309.42;129.5;2;2024
Vestido Linho Verde;Vestido;Verde;38;Linho;262.34;149.74;25;2024
Bermuda Linho Cinza;Bermuda;Cinza;G;Linho;47.43;27.15;37;2026
Bermuda Seda Verde;Bermuda;Verde;42;Seda;213.95;73.92;32;2026
Blusa Seda Cinza;Blusa;Cinza;38;Seda;298.14;168.06;10;2024
Bermuda Jeans Vermelho;Bermuda;Vermelho;44;Jeans;93.9;53.16;4;2024
Vestido Poliester Preto;Vestido;Preto;G;Poliester;95.83;32.15;15;2026
Meias Seda Amarelo;Meias;Amarelo;P;Seda;286.38;170.46;19;2026
Saia La Verde;Saia;Verde;38;La;157.28;89.86;56;2026
Calca Jeans Algodao Rosa;Calca Jeans;Rosa;GG;Algodao;58.32;24.53;33;2024
Bermuda Poliester Branco;Bermuda;Branco;44;Poliester;257.26;111.56;28;2025
